Word count summary for Candide by Voltaire


Chapter,Words
Chapter 1,794
Chapter 2,782
Chapter 3,767
Chapter 4,1077
Chapter 5,942
Chapter 6,399
Chapter 7,704
Chapter 8,1080
Chapter 9,534
Chapter 10,656
Chapter 11,1159
Chapter 12,1302
Chapter 13,776
Chapter 14,1165
Chapter 15,722
Chapter 16,1265
Chapter 17,1210
Chapter 18,1915
Chapter 19,1764
Chapter 20,840
Chapter 21,567
Chapter 22,3515
Chapter 23,466
Chapter 24,1629
Chapter 25,1867
Chapter 26,1163
Chapter 27,1301
Chapter 28,935
Chapter 29,367
Chapter 30,1590

Total word count,33253,Date,2019-12-06
Total with unused,33253,Date,2019-12-06

Generated by yWriter6 (c) 2019 Spacejock Software
